,part_number,class,descrip,descrip2,cost,onhand,onorder,master_list,custno,revision,aql,syscom,physical,oldcost,owner
0,5f08e3cf2e05,,MS20822-4,,9.48626,2129,0,Y,17580,F,1,,N,0,A
1,37062f157a8c,,"1/4-28 x 10.313 Machine Screw, 1022 Steel",B/O(Dwg 18571);97022; HTS 7318.15.0000,0.19,162000,0,Y,14700,19,1,,N,0,A
2,9fafb0891d5f,,Artemis Heat Sink,,0,0,0,,,,0,,N,0,C
3,4169ab8d76a6,,"M8 X 1.25-6g X 40MM HHCS, BRASS",W/ BRITE DIP TO PRINT,0.219,49100,0,,,,0,,N,0,A
4,e30c8087f64d,,1/4-20 X 5/8 Unslotted Hex Hd Screw w/ L/W & F/W,18-8 Stainless Steel per F593C,0,0,0,,,,0,,N,0,A
5,f8085e5ca3ad,,Gray Bracket : 55R,Must be on Standard Pallets,0,90,0,,,,0,,N,0,A
6,32a285b95382,,"1/4-20 X 3/4 Unslotted Hex Hd Screw w/L/W & F/W,",18-8 Stainless Steel per F593; HTS 7318.15.4000,0,0,0,,,,0,,N,0,A
7,5f017d5ba9cd,,VALUE PLASTICS P/N MTLS220-1 WHITE,,0.045,431200,0,,,,0,,N,0,A
8,fb40d7f2de49,,"6-40 Socket Pull Screw, 416 or 420Stainless,", HRA 66.3-70.4 BLACK COLOR HTS; 7318.15.6010,0.14562,75000,0,Y,14700,0,1,,N,0,A
9,477b2279c0e5,,BPP6091755 (50 PCS/BAG),HO-56IN SP1 CPS,3.094,5884,0,Y,13701,B,4,,N,0,A
10,0e9b38d1680d,,"Cast 13"" Lockarm to B/P, Red Powder",HTS : 8302.10.6030,6.45,4740,0,,,,0,,N,0,A
11,55ce40b61e09,,"End Cap, .25 Max Carbon, Bl/Ox","Carb(.7-.9% CP HT), HR15n 88-92 , .008 Min Eff",0,45734,0,Y,14700,P1,1,,N,0,A
12,70b0ad7f1b3b,,Gray Bracket : 55L,Must be on Standard Pallets,0,0,0,,,,0,,N,0,A
13,93b721bc6a59,,Power Supply Heatsink,,0,0,0,,,,0,,N,0,B
14,22d07dcb56a6,,"4 Hole Hinge 316 SS, 3/8"" Pin Flat Bottom",HTS : 8302.10.6030,5.31652,11125,0,,,,0,,N,0,A
15,fb7c15306f78,,"Plug Screw ; .6601-32 UNS-2A Ext, 12L14 Mat",".532 L, 1/4-28 Int, High Phos E-Nickel (10-14%)",0.65,0,0,Y,14700,1,1,,N,0,A
16,22fa640221c0,,"1/4-28 X 1 1/2 SHCS, A286",,0.8,0,0,,,,0,,N,0,A
17,1c081b3c8e2e,,"5/16-18 X 1 1/2 HHCS, BRASS",,0.20514,47230,0,,,,0,,N,0,A
18,2d5322d262bd,,"3/8-16 X 1 1/2 HHCS, BRASS W/BRITE DIP TO PRINT",,0.30287,38900,0,,,,0,,N,0,A
19,097f87a32f55,,Source Block,PC with Vacuumized Alum Coat,0,0,0,,,,0,,N,0,C
20,025bf0ab176a,,RECTUS P/N 20KFTF05MPN,,7.16,2,0,,,,0,,N,0,A
21,358eb13281f7,,"5/16-18 X 1 UNSLOT HEX WSHR HD TAPTITE,",BLACK PHOS + WAX : HTS 7318.15.4000,0.0307,154000,0,,,,0,,N,0,A
22,016c16bf3228,,"Bent Bar, 316 SS ; Strictly to Drawing",Stainless Bar ; HTS : 7222.30.0000,2.82,2150,0,,,,0,,N,0,A
23,1189f4577672,,"5 Hole Point hinge  316 SS, 3/8 Pin","Flat Bottom, HTS : 8302.10.6030",5.98,5255,0,,,,0,,N,0,A
24,b3b5c8c07eb5,,"4 Hole Cast Hinge, 316 STAINLESS","3/8"" PIN ; HTS : 8302.10.6030",0,0,0,,,,0,,N,0,A
25,9ea5a07a2bde,,".140 x .865 Grooved Headed Pin, 8620 B/Oxide","Carb .7-.9% CP HR15n 88-92, .008 Eff Case Min",0.192,19926,0,Y,14700,3,1,,N,0,A
26,be5adb344ceb,,"Screw, Heat Treated, Plated",,0.21903,39020,0,Y,14700,1,1,,N,0,A
27,4eccd07be05a,,"#6 SAE F/W, ZINC",,0,0,0,,,,0,,N,0,A
28,ce1f571dec6b,,WRIGHTWAY# W5218386-003,,0.16,13750,0,,,,0,,N,0,A
29,641ef284ceda,,"Gas Plug Assembly Pin, 4140 Material","Q&T HRc 37-42, Black Oxide",0.845,11500,0,Y,14700,1,1,,N,0,A
30,d666d67a0e74,,".150 x 1.160 Grooved Pin, 4340, Black Oxide",Q&T HRc 45-50,0.131,15000,0,Y,14700,1,1,,N,0,A
