purno,vendno,custno,transfer,item,cost,qtyord,qtyrec,created
86001,13921,,Y,6c18dd9a3e59,0.41666,300,300,8/1/16
86001,13921,,Y,13dfaee8f27f,20,1,1,8/1/16
86024,176700,120100,N,b75abbebcbdc,0.09,25000,25000,8/8/16
86024,176700,120100,N,13dfaee8f27f,0,1,1,8/8/16
86026,176700,120100,N,e7f2d04e6d17,0.12,10000,10000,8/8/16
86026,176700,120100,N,13dfaee8f27f,0,1,1,8/8/16
86008,220700,,N,2d3d80fbb900,145,1,1,8/3/16
86006,13800,10600,N,2d9af7d3b7b0,0.007,500,500,8/3/16
86006,13800,10600,N,0c8884fd4844,0.01,300,300,8/3/16
86006,13800,10600,N,a1d80ef6677e,0.025,300,300,8/3/16
86006,13800,10600,N,26553490460,0.004,500,500,8/3/16
86006,13800,800,N,02b0c2a795bb,0.18,25,25,8/3/16
86006,13800,800,N,c4d460a391e6,0.13,100,100,8/3/16
86006,13800,19100,N,61f24b7edb9e,0.023,100,100,8/3/16
86006,13800,19100,N,dae04e402e50,0.023,100,100,8/3/16
86006,13800,19100,N,51ab67b601a4,0.029,100,100,8/3/16
86006,13800,19100,N,84217000e8ab,0.035,100,100,8/3/16
86006,13800,19100,N,e788187a97b7,0.08,100,100,8/3/16
86006,13800,5060,N,8f4c3527f901,0.40895,100,100,8/3/16
86009,13800,116400,N,1d97e26bf055,0.14,600,600,8/4/16
86013,3100,116400,N,905cd271cdb7,0.05,1300,1300,8/4/16
86013,3100,116400,N,2d281bbe5406,0.13,1000,1000,8/4/16
86012,13800,116400,N,ce507b64d5ac,1.17,500,500,8/4/16
86012,13800,116400,N,03aa8681da62,1.19,700,700,8/4/16
86012,13800,116400,N,02ba812aa3b4,1.6,200,200,8/4/16
86012,13800,116400,N,4b4a4763abc6,1.15,600,600,8/4/16
86012,13800,116400,N,aa5b7e76f4b0,0.12,300,300,8/4/16
86012,13800,116400,N,cecf9964d4c2,0.36,2000,2000,8/4/16
86012,13800,116400,N,1d97e26bf055,0.14,700,700,8/4/16
86012,13800,116400,N,dc0becf86846,0.181,450,450,8/4/16
86012,13800,116400,N,d7204c11960d,0.31,300,300,8/4/16
86014,8790,60,N,bdd67025a86d,0.04,100,100,8/4/16
86014,8790,60,N,30cb461db4f4,0.0775,100,100,8/4/16
86003,13800,5205,N,d370d5cccfc1,1.8,24,24,8/2/16
86003,13800,5205,N,e1691fbbc670,0.22,24,24,8/2/16
86010,13800,116400,N,1d97e26bf055,0.14,479,479,8/4/16
86010,13800,116400,N,5dd61efe4c79,1.3,87,87,8/4/16
86010,13800,116400,N,d7204c11960d,0.32,175,175,8/4/16
86017,14802,19100,N,cc3bf9cd85f2,0.021,2000,2000,8/8/16
86017,14802,19100,N,591e962e7514,0,1,1,8/8/16
