part_number,cost,qty_sold,Label
5f08e3cf2e05,9.48626,20,Custom
37062f157a8c,0.19,62,Standard
9fafb0891d5f,0,12,Overseas
4169ab8d76a6,0.219,27,Standard
e30c8087f64d,0,77,Overseas
f8085e5ca3ad,0,87,Overseas
32a285b95382,0,19,Overseas
5f017d5ba9cd,0.045,97,Overseas
fb40d7f2de49,0.14562,27,Overseas
477b2279c0e5,3.094,22,Custom
0e9b38d1680d,6.45,1,Custom
55ce40b61e09,0,45,Overseas
70b0ad7f1b3b,0,5,Overseas
93b721bc6a59,0,95,Overseas
22d07dcb56a6,5.31652,17,Custom
fb7c15306f78,0.65,37,Custom
22fa640221c0,0.8,9,Custom
1c081b3c8e2e,0.20514,97,Standard
2d5322d262bd,0.30287,42,Standard
097f87a32f55,0,11,Overseas
025bf0ab176a,7.16,50,Custom
358eb13281f7,0.0307,6,Overseas
016c16bf3228,2.82,79,Custom
1189f4577672,5.98,40,Custom
b3b5c8c07eb5,0,12,Overseas
9ea5a07a2bde,0.192,12,Standard
be5adb344ceb,0.21903,53,Standard
4eccd07be05a,0,95,Overseas
ce1f571dec6b,0.16,67,Standard
641ef284ceda,0.845,9,Custom
d666d67a0e74,0.131,3,Overseas
694e386c6322,2.14,63,Custom
6649c91c89f2,5.28,15,Custom
702fec4ebe1c,0,74,Overseas
58cade194485,5.28,63,Custom
0e37f399caf4,0.3,32,Standard
199eec0e60cc,0,42,Overseas
a4ed94dc8edf,0,89,Overseas
2e880be3c38a,0,18,Overseas
e4ed98f96047,0.00849,19,Overseas
ff10ae61e417,0,43,Overseas
8c80a71d747a,0.14852,91,Overseas
ba637968b558,0.13,17,Overseas
de32550532ac,0.095,34,Overseas
92ad28d2c17e,0.0771,49,Overseas
c20aacaf8428,0,69,Overseas
33fb917cfbf4,0,33,Overseas
5de33b2e59cb,0.1015,43,Overseas
122b13831ed5,0.01,22,Overseas
1e275c2cf9d5,0.15815,55,Standard
027d780537f7,0.105,11,Overseas
a015288d167c,0.03175,75,Overseas
69541537a132,0,99,Overseas
4.17E+11,0.09111,67,Overseas
920240abb51c,0.10575,15,Overseas
de88b086daf7,3.06519,63,Custom
33348e177fd8,0.6774,35,Custom
18d9f0804433,0,43,Overseas
4a90f1cf927b,0.273,43,Standard
ae8b5b91f6e2,1.33751,51,Custom
42f166a291cc,0.622,79,Custom
58eaee85000f,0.155,2,Standard
6edaa60d976b,4.2508,31,Custom
0b313c3055e3,0,60,Overseas
75cc4c59d94e,0.468,97,Standard
b95ed91de35b,1.11529,3,Custom
f847e811e168,6.7,45,Custom
9ac5e733311b,0.11971,99,Overseas
5477fd01f598,0,61,Overseas
